1,1,7,39,509-13-8635,Norbert,Faire,11/27/1967
2,1,4,23,237-20-4241,Luise,Tesdale,02/02/1987
3,1,5,35,150-86-4106,Jacquie,Shearwood,05/20/1995
4,1,2,37,474-90-7881,Afton,Jesty,08/01/1974
5,1,5,27,347-39-5748,Gearalt,Howlin,11/07/1975
6,2,3,22,103-95-4562,Eleonora,Persian,03/14/1962
7,2,3,47,706-98-6265,Clarke,Kintish,06/11/1960
8,2,7,3,259-49-1506,Lynette,Putten,06/16/1956
9,2,7,37,300-87-3406,Quent,Pengilly,06/16/1955
10,2,2,47,175-96-9395,Alanah,Harbour,02/15/1955
11,2,5,21,760-39-2548,Dulce,Berntssen,03/13/1988
12,2,8,14,411-78-3706,Jacklyn,O'Cullen,01/04/1960
13,2,3,1,741-41-2081,Kandace,Millberg,01/19/1999
14,2,7,34,397-02-6890,Hirsch,Ruste,01/18/1963
15,2,5,35,578-38-0671,Kalil,Marchant,07/31/1956
16,2,3,34,678-56-9892,Alanah,Harfleet,03/11/1959
17,2,5,19,657-30-1597,Chicky,Kentish,05/23/1981
18,2,3,3,887-59-3507,Ryon,Sturley,10/08/1982
19,2,6,29,324-52-1207,Minnaminnie,Maile,04/04/1958
20,2,4,32,309-81-6780,Nyssa,Dalton,02/06/1972
21,2,4,26,126-41-9668,Jayne,Quincey,11/05/1966
22,2,1,46,187-10-4508,Paulie,de Quincey,12/25/1968
23,2,4,11,203-04-3069,Derron,Picardo,01/04/1970
24,2,7,40,319-54-7614,Neala,Danniel,06/14/1970
25,2,4,41,303-66-0588,Bridie,Leedes,07/11/1977
26,2,1,37,779-12-7661,Elvin,Novis,02/03/1952
27,2,4,43,286-51-9729,Ingelbert,McIlvoray,11/30/1981
28,2,8,33,394-03-3108,Sylvester,Judkin,06/28/1984
29,2,2,34,445-44-4977,Kyle,Bramble,10/15/1952
30,2,4,35,185-85-8790,Jobyna,Wickmann,05/05/1951
31,3,5,34,527-76-3933,Kara-lynn,Moorcraft,11/26/1986
32,3,4,40,170-70-9716,Lolita,Jolley,09/14/1972
33,3,8,12,846-67-6189,Gusella,Theurer,06/19/1987
34,3,3,13,695-58-9158,Gerry,Burl,09/05/1952
35,3,4,16,558-14-6941,Caddric,Vear,10/28/1989
36,3,5,36,759-19-0354,Yolanthe,Borg,11/18/1953
37,3,5,25,178-51-3028,Mikel,Bettanay,09/29/1978
38,3,4,1,345-43-6689,Ignatius,Milthorpe,02/06/1955
39,3,4,45,112-08-3868,Maurine,Vannet,12/12/1981
40,3,4,17,321-60-5065,Jamey,Beneze,09/02/1947
41,3,2,28,337-37-1452,Earl,Ramlot,08/26/1960
42,3,8,26,710-51-0315,Vick,Guiso,12/03/1959
43,3,2,8,237-83-6423,Bel,Malpas,04/20/1982
44,3,3,48,624-45-2589,Deny,Clemits,03/13/1953
45,3,7,35,758-31-6019,Alix,Palffy,03/27/1988
46,3,5,26,800-66-3080,Sande,Sherringham,08/30/1971
47,3,2,7,671-33-8753,Christy,Plevey,02/03/2000
48,3,5,21,298-25-9462,Rodge,Tarrant,03/04/1979
49,3,3,18,745-18-3036,Derwin,Budgen,12/31/1975
50,3,1,23,386-56-4771,Melinde,Czaple,03/23/1972
51,3,7,42,880-08-0976,Francisco,Chaperlin,05/22/1949
52,3,8,28,634-43-5813,Karry,Fuxman,06/25/1974
53,3,3,40,847-15-4852,Ulises,Sillito,04/26/1998
54,3,2,13,788-96-8915,Tim,Linton,08/10/1978
55,3,8,40,785-86-3327,Oriana,Hinrich,02/25/1998
56,3,3,32,841-80-0924,Thaxter,Halward,03/29/1973
57,3,3,42,101-31-2280,Morton,Masse,02/21/1973
58,3,8,27,764-64-4873,Gertrud,Bezants,10/12/1952
59,3,4,36,764-17-8259,Gray,Darnborough,09/02/1960
60,3,4,12,599-73-6400,Viv,Petrik,06/17/1973
61,3,1,32,119-91-8334,Ross,Bailes,02/23/1949
62,3,5,28,423-04-1674,Chad,Lambrecht,06/29/1990
63,3,2,1,569-34-9867,Cyrillus,Fauning,05/07/1981
64,3,7,14,567-10-6724,Justino,Heinecke,01/23/1971
65,3,5,5,301-85-8981,Tris,Aizikovitz,05/27/1965
66,3,5,22,277-61-3339,Nolie,Foottit,06/22/1969
67,3,4,37,850-66-4282,Nehemiah,Somerset,12/16/1948
68,3,2,5,629-53-1999,Emilia,Hysom,04/18/1977
69,3,6,13,394-94-0862,Stefania,Jeffreys,05/07/1956
70,3,7,7,539-62-5749,Rafe,Klewi,03/28/1947
71,3,2,26,702-52-4808,Neale,Arondel,08/22/1970
72,3,3,49,614-71-5272,Lorilyn,Bartolomieu,02/22/1983
73,3,4,25,371-29-7589,Lorri,Featherstone,11/27/1973
74,3,5,48,255-54-2994,Lucias,Klageman,07/31/1945
75,3,7,48,564-56-7554,Maxy,Storah,12/12/1998
76,3,3,13,492-22-8774,Misty,Tozer,06/05/1991
77,3,6,16,797-30-4113,Nina,Kierans,10/06/1992
78,3,1,43,647-18-3141,Milo,Scoular,04/26/1960
79,3,7,44,841-84-0500,Major,Tranter,04/04/1995
80,3,7,33,250-08-7832,Kaitlyn,Patrone,07/07/1995
81,3,3,12,246-68-9122,Domingo,Meffen,03/08/1952
82,3,8,20,209-89-1787,Townie,Wren,10/31/1994
83,3,7,37,179-07-7786,Corena,Gallamore,01/16/1988
84,3,2,13,493-59-4057,Sibelle,Wallege,11/24/1975
85,3,4,10,527-80-8419,Annamaria,Oloshin,02/20/1995
86,3,5,3,725-31-5862,Homer,Beiderbecke,05/01/1972
87,3,4,21,862-14-5613,Rosalinda,Waterson,07/01/1980
88,3,3,20,254-11-4928,Hermy,Sidden,06/23/1981
89,3,5,11,791-95-1706,Ginni,De Biasi,02/27/1961
90,3,7,12,112-07-3486,Lilllie,De Ruel,05/26/1965
91,3,5,7,286-43-8011,Jory,Degoy,10/27/1979
92,3,4,13,132-50-4608,Audy,McAlinden,07/15/1978
93,3,6,10,329-36-8915,Rabi,Paulat,04/10/1955
94,3,1,27,140-38-5140,Marrilee,Alison,07/26/1981
95,3,2,29,759-81-9776,Eleanora,Skeggs,05/23/1967
96,3,8,36,262-38-4595,Nyssa,Ganniclifft,09/16/1996
97,3,8,45,113-92-1990,Violet,Goady,04/08/1946
98,3,2,5,764-60-3524,Audra,Berget,07/20/1978
99,3,3,30,458-69-3045,Hattie,Carlisso,07/14/1988
100,3,6,42,439-60-6076,Evanne,Rassmann,01/01/1975
